Years,Data File Name,Doc File,Data File,Date Published
2007-2014,California - Demographic Variables & Sample Weights,CDEMO_EH Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/CDEMO_EH.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/CDEMO_EH.htm),RDC Only,Oct-15
1999-2006,California - Demographic Variables & Sample Weights,CDEMO_AD Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/CDEMO_AD.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/CDEMO_AD.htm),RDC Only,Jan-16
2005-2006,Demographic Variables & Sample Weights,DEMO_D Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.htm),DEMO_D Data [XPT - 3.4 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DEMO_D.XPT),Updated September 2009
2007-2008,Demographic Variables & Sample Weights,DEMO_E Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.htm),DEMO_E Data [XPT - 3.3 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DEMO_E.XPT),Sep-09
2003-2004,Demographic Variables & Sample Weights,DEMO_C Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.htm),DEMO_C Data [XPT - 3.4 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DEMO_C.XPT),Updated September 2009
2001-2002,Demographic Variables & Sample Weights,DEMO_B Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.htm),DEMO_B Data [XPT - 3.1 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DEMO_B.XPT),Updated September 2009
1999-2000,Demographic Variables & Sample Weights,DEMO Doc (https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.htm),DEMO Data [XPT - 11 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DEMO.XPT),Updated September 2009
2009-2010,Demographic Variables & Sample Weights,DEMO_F Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.htm),DEMO_F Data [XPT - 3.5 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DEMO_F.XPT),Sep-11
2011-2012,Demographic Variables & Sample Weights,DEMO_G Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.htm),DEMO_G Data [XPT - 3.6 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DEMO_G.XPT),Updated January 2015
2013-2014,Demographic Variables and Sample Weights,DEMO_H Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.htm),DEMO_H Data [XPT - 3.7 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DEMO_H.XPT),Oct-15
2015-2016,Demographic Variables and Sample Weights,DEMO_I Doc (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.htm),DEMO_I Data [XPT - 3.6 MB] (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.XPT) (https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DEMO_I.XPT),Sep-17
1999-2016,"Geocoded Data, NHANES 1999-2016 , Census 2000",GEO_2000 Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/GEO_2000.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/GEO_2000.htm),RDC Only,Mar-18
1999-2016,"Geocoded Data, NHANES 1999-2016 , Census 2010",GEO_2010 Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/GEO_2010.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/GEO_2010.htm),RDC Only,Mar-18
1999-2004,"Los Angeles County, California - Demographic Variables & Sample Weights",LA_DEMO Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LA_DEMO.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LA_DEMO.htm),RDC Only,Aug-08
1999-2006,"Los Angeles County, California - Demographic Variables & Sample Weights",LDEMO_AD Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LDEMO_AD.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LDEMO_AD.htm),RDC Only,May-15
2007-2014,"Los Angeles County, California - Demographic Variables & Sample Weights",LDEMO_EH Doc (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LDEMO_EH.htm) (https://wwwn.cdc.gov/Nchs/Nhanes/limited_access/LDEMO_EH.htm),RDC Only,Oct-15